平均速度,平均行驶速度,平均加速度,平均减速度,怠速时间比,加速时间比,减速时间比,速度标准差,加速度标准差
20.77,21.97,1.69,-0.87,0.09,0.35,0.61,6.13,1.65
2.61,14.75,1.56,-1.47,0.88,0.15,0.16,4.99,1.17
2.24,18.64,2.89,-1.31,0.90,0.06,0.10,5.99,1.08
9.40,10.90,1.00,-0.27,0.62,0.43,0.43,1.27,0.75
11.66,28.04,1.25,-1.21,0.65,0.40,0.33,13.36,1.54
18.78,29.44,1.91,-4.09,0.38,0.55,0.24,15.54,3.06
39.12,40.41,1.28,-1.84,0.04,0.60,0.39,15.09,2.07
30.84,33.28,1.67,-2.35,0.09,0.56,0.35,11.49,2.48
8.28,24.43,1.85,-1.68,0.67,0.18,0.17,12.16,1.44
17.39,38.62,3.08,-3.66,0.56,0.28,0.21,19.99,4.41
3.32,12.40,2.15,-2.32,0.89,0.24,0.20,4.61,2.23
8.97,20.86,2.46,-1.69,0.59,0.21,0.27,10.69,1.82
9.16,22.22,1.38,-1.28,0.60,0.21,0.21,11.49,1.09
2.99,22.65,2.26,-1.78,0.87,0.08,0.09,7.82,1.78
15.55,22.69,1.41,-2.45,0.36,0.47,0.26,12.06,2.17
9.29,10.45,1.07,-0.13,0.43,0.50,0.50,1.48,0.99
27.91,28.64,1.40,-1.29,0.04,0.44,0.47,8.61,1.74
9.74,10.60,1.00,-0.30,0.50,0.43,0.29,1.14,0.69
28.26,40.46,1.23,-1.79,0.31,0.41,0.26,24.05,3.23
5.75,13.30,3.13,-1.50,0.92,0.27,0.36,2.83,3.27
23.97,31.86,1.41,-1.29,0.26,0.38,0.40,14.90,1.78
11.42,19.63,1.14,-1.01,0.45,0.25,0.27,10.02,1.15
8.65,18.43,2.88,-1.17,0.59,0.21,0.39,8.70,1.88
17.67,23.42,1.42,-0.70,0.33,0.53,0.31,9.58,1.27
45.98,47.55,1.66,-1.98,0.03,0.46,0.38,24.14,6.29
18.37,26.85,1.51,-1.34,0.34,0.41,0.39,13.90,1.71
20.93,33.00,1.12,-2.00,0.39,0.49,0.24,16.96,1.65
42.96,43.94,1.15,-1.50,0.02,0.50,0.37,12.69,2.32
12.27,13.72,1.67,0.0,0.33,0.60,0.00,2.29,1.63
11.87,14.02,1.58,-0.23,0.33,0.62,0.38,3.57,1.46
35.16,35.35,1.02,-1.10,0.01,0.43,0.18,9.10,1.05
41.56,43.56,1.66,-0.60,0.05,0.52,0.13,11.84,1.70
30.05,31.39,2.11,-3.13,0.05,0.57,0.31,11.70,4.16
0.43,12.30,12.30,-7.00,0.98,0.02,0.02,2.09,2.15
38.29,44.34,1.41,-1.31,0.14,0.43,0.33,17.42,1.96
16.37,24.75,1.50,-2.59,0.35,0.42,0.23,12.60,2.37
7.49,21.07,1.79,-1.74,0.64,0.22,0.16,10.58,1.98
4.41,10.82,1.15,-1.60,0.77,0.40,0.20,4.66,1.59
12.33,16.43,1.29,-1.05,0.39,0.47,0.50,5.82,1.42
9.66,29.59,3.07,-2.14,0.70,0.19,0.24,15.05,3.40
21.23,35.34,1.17,-1.24,0.42,0.37,0.33,18.13,2.16
40.27,45.60,1.26,-2.23,0.12,0.56,0.30,19.87,2.04
15.35,38.59,1.54,-2.29,0.61,0.24,0.16,20.25,1.62
22.40,34.31,1.70,-5.10,0.36,0.68,0.02,18.74,1.87
48.64,48.84,1.00,-1.42,0.00,0.53,0.36,13.17,3.99
27.64,38.17,1.19,-0.97,0.28,0.30,0.34,18.01,1.26
15.90,17.63,1.17,-1.64,0.20,0.58,0.37,4.77,1.88
10.01,31.82,2.82,-1.77,0.74,0.21,0.31,13.98,3.71
8.87,30.27,2.70,-2.51,0.71,0.18,0.13,14.63,1.92
30.88,42.84,1.14,-1.40,0.29,0.42,0.33,22.11,2.22
43.92,67.44,1.54,-1.47,0.35,0.31,0.31,36.17,1.79
90.63,91.60,0.94,-1.03,0.01,0.29,0.26,24.09,3.14
39.54,48.90,1.38,-1.95,0.19,0.43,0.28,22.71,2.72
14.21,16.39,1.85,-3.20,0.30,0.67,0.22,4.29,2.55
3.43,15.80,2.42,-3.12,0.87,0.27,0.13,5.56,1.93
0.86,12.53,1.96,-1.59,0.95,0.04,0.05,3.06,0.74
3.13,11.54,2.17,-2.46,0.89,0.20,0.16,4.35,1.96
8.28,10.30,5.30,-2.25,0.80,0.25,0.50,2.02,3.66
7.54,10.30,1.87,-0.73,0.78,0.38,0.38,2.01,1.26
22.26,24.02,2.39,-1.90,0.11,0.16,0.15,10.13,2.57
43.72,44.09,1.38,-1.42,0.01,0.49,0.44,14.68,2.44
50.23,52.45,0.97,-1.33,0.04,0.53,0.38,14.95,1.86
13.22,42.44,1.42,-1.45,0.70,0.24,0.12,21.48,1.04
63.06,69.37,1.52,-2.95,0.09,0.60,0.29,27.22,3.28
24.63,28.02,1.12,-1.58,0.15,0.55,0.39,10.63,1.95
8.94,13.17,2.53,-1.32,0.36,0.29,0.38,6.23,2.31
9.56,11.75,1.37,-0.93,0.57,0.46,0.54,2.24,1.44
35.50,44.03,2.77,-2.91,0.20,0.39,0.35,20.48,4.74
24.20,40.23,1.27,-2.11,0.42,0.48,0.27,21.34,1.91
40.24,43.84,1.13,-1.52,0.09,0.51,0.37,19.34,1.95
10.71,16.98,2.48,-1.93,0.41,0.38,0.38,8.25,2.84
7.31,16.11,1.40,-1.81,0.63,0.36,0.25,7.55,1.62
13.47,18.72,3.51,-1.87,0.29,0.30,0.39,9.32,2.99
7.87,14.28,0.82,-0.90,0.57,0.39,0.34,6.31,1.07
15.81,19.45,1.42,-1.61,0.21,0.47,0.37,7.93,2.07
18.74,42.95,1.45,-1.82,0.57,0.30,0.17,22.53,1.48
21.58,22.65,3.16,-1.74,0.08,0.38,0.58,5.99,3.36
62.29,65.96,1.59,-3.20,0.06,0.43,0.19,26.89,5.16
0.65,13.75,4.76,-1.80,0.95,0.02,0.03,2.97,1.04
30.86,30.90,2.78,-3.59,0.00,0.09,0.06,6.28,1.86
2.52,15.67,0.95,-1.04,0.85,0.12,0.09,5.60,0.66
36.78,37.79,2.69,-1.54,0.03,0.49,0.48,11.42,4.95
16.61,30.56,1.69,-1.40,0.46,0.28,0.24,16.43,1.65
7.87,11.10,1.80,-1.25,0.83,0.60,0.40,1.96,1.91
6.99,10.73,1.27,-1.38,0.80,0.50,0.43,2.86,1.51
9.95,10.50,1.10,0.0,0.50,1.00,0.00,0.78,0.00
3.25,10.25,1.16,-1.29,0.93,0.33,0.26,3.35,1.25
10.00,10.50,0.75,-0.60,0.50,0.67,0.33,0.65,0.85
1.39,12.17,0.84,-0.98,0.97,0.18,0.14,2.67,0.67
14.40,36.72,0.97,-1.14,0.64,0.35,0.25,17.71,1.12
1.30,10.93,2.28,-2.57,0.94,0.08,0.06,3.37,1.37
10.42,10.60,0.65,-1.10,0.25,0.67,0.33,0.57,1.01
13.78,14.68,1.19,-1.42,0.15,0.55,0.42,3.21,1.64
11.68,15.24,1.67,-1.82,0.42,0.61,0.22,4.76,1.89
7.58,10.40,1.48,-4.00,0.88,0.86,0.14,1.77,2.44
13.86,13.99,1.57,-1.88,0.03,0.53,0.36,2.02,2.32
8.95,11.20,2.50,-2.90,0.75,0.67,0.33,2.01,3.93
11.84,13.75,1.27,0.0,0.43,1.00,0.00,2.95,1.27
14.64,16.00,6.80,0.0,0.20,0.25,0.00,3.04,3.40
6.23,16.00,10.25,-4.50,0.67,0.40,0.20,7.77,7.72
15.62,17.08,1.96,-2.05,0.17,0.64,0.18,3.62,2.42
13.40,17.10,14.80,0.0,0.25,0.33,0.00,7.40,8.54
9.43,17.10,15.40,-0.10,0.50,0.33,0.33,8.86,8.92
9.80,17.10,8.55,0.0,0.44,0.25,0.00,8.70,5.04
4.32,12.30,2.82,-2.36,0.91,0.45,0.42,3.36,3.00
9.82,13.90,5.90,-1.30,0.40,0.50,0.25,5.61,5.47
17.65,18.52,4.66,-3.40,0.06,0.31,0.12,4.76,3.28
14.49,20.20,8.90,-0.60,0.33,0.14,0.14,8.37,4.43
3.00,50.35,20.27,-5.87,0.96,0.07,0.07,10.29,8.74
12.65,25.10,24.90,0.0,0.50,1.00,0.00,17.61,0.00
2.65,10.00,9.80,0.0,0.75,0.33,0.00,4.90,5.66
3.01,22.90,11.35,0.0,0.90,0.22,0.00,7.19,5.82
11.67,30.21,1.87,-3.49,0.70,0.14,0.04,12.78,1.46
22.73,26.27,2.43,-3.41,0.15,0.60,0.28,11.44,3.06
20.69,24.04,2.06,-2.70,0.16,0.56,0.39,10.34,3.51
8.77,26.06,1.80,-2.42,0.67,0.23,0.11,13.30,1.72
27.97,37.09,1.32,-1.45,0.26,0.41,0.35,17.17,1.79
28.72,30.12,1.51,-1.08,0.05,0.41,0.53,11.38,1.80
5.76,14.83,1.45,-1.22,0.68,0.28,0.32,6.87,1.44
31.06,34.64,2.06,-1.17,0.11,0.36,0.50,13.43,2.12
23.96,35.40,0.81,-0.87,0.32,0.33,0.27,17.71,1.25
2.79,12.81,2.42,-1.57,0.81,0.12,0.13,5.15,1.40
11.93,15.00,2.30,-1.10,0.44,0.75,0.25,4.65,1.82
23.32,28.61,1.18,-1.20,0.20,0.50,0.31,13.28,1.61
26.87,45.21,1.44,-1.94,0.41,0.35,0.24,23.82,2.28
18.95,39.04,2.18,-2.84,0.52,0.27,0.18,20.74,2.31
33.01,36.01,1.17,-1.42,0.09,0.49,0.36,13.06,1.93
0.66,10.60,5.30,-3.27,0.98,0.04,0.06,2.37,1.58
24.01,25.71,1.94,-1.76,0.10,0.46,0.50,8.84,2.28
23.43,40.06,2.19,-2.36,0.43,0.44,0.35,20.10,6.02
12.97,24.91,2.78,-1.70,0.49,0.22,0.34,13.31,2.27
2.86,13.45,1.00,-1.03,0.91,0.28,0.25,4.10,0.96
8.75,10.35,0.82,-0.90,0.75,0.57,0.29,1.20,0.91
11.81,14.15,1.52,-1.64,0.27,0.56,0.44,4.70,1.96
12.09,34.65,1.47,-1.34,0.66,0.19,0.20,17.11,1.22
22.01,41.96,4.49,-2.17,0.48,0.19,0.36,21.67,5.98
35.22,36.09,1.25,-0.89,0.03,0.41,0.55,13.42,1.56
27.13,38.04,1.08,-1.88,0.29,0.47,0.23,19.96,1.84
11.98,38.55,1.93,-2.89,0.69,0.22,0.13,18.72,2.06
18.71,32.54,2.51,-2.45,0.43,0.35,0.31,17.42,2.72
37.87,41.81,1.16,-1.45,0.10,0.50,0.39,16.06,1.57
3.01,15.19,2.50,-2.59,0.88,0.14,0.12,5.48,1.76
33.54,36.79,1.28,-1.96,0.09,0.55,0.35,14.55,2.12
8.70,10.30,1.35,0.0,0.67,1.00,0.00,1.42,1.06
20.19,23.34,1.57,-1.08,0.14,0.37,0.50,9.22,2.65
40.00,48.35,1.21,-1.22,0.18,0.39,0.38,20.46,2.87
42.26,46.95,1.25,-1.59,0.10,0.51,0.35,18.66,2.24
49.56,49.88,1.29,-1.42,0.01,0.53,0.42,14.89,2.77
11.58,19.56,2.14,-2.47,0.42,0.35,0.25,9.93,2.47
31.06,32.85,1.90,-1.98,0.07,0.51,0.44,10.56,2.45
19.18,20.41,1.78,-1.52,0.11,0.46,0.50,5.65,2.08
23.04,25.23,2.31,-2.08,0.11,0.48,0.43,7.60,5.26
1.15,10.63,2.14,-0.10,0.93,0.12,0.02,3.10,0.81
8.90,11.20,0.94,0.0,0.71,0.83,0.00,1.96,0.65
18.56,19.58,1.48,-0.77,0.09,0.50,0.41,5.15,1.30
10.29,13.14,2.29,-0.84,0.27,0.36,0.48,5.37,1.75
9.93,10.10,0.50,0.0,0.33,0.50,0.00,0.29,0.35
19.20,24.79,2.57,-2.14,0.35,0.47,0.53,9.63,4.52
14.94,26.81,1.17,-1.78,0.45,0.33,0.18,14.82,1.30
0.22,12.35,14.00,-3.67,0.99,0.01,0.02,1.58,1.35
22.07,22.58,1.59,-1.75,0.04,0.54,0.46,6.55,2.16
21.45,25.60,1.80,-2.05,0.17,0.56,0.33,9.98,2.42
23.46,24.17,1.21,-1.01,0.04,0.44,0.50,5.44,1.53
10.37,11.12,1.47,-0.90,0.33,0.60,0.40,1.32,1.44
9.90,11.33,2.55,-1.35,0.40,0.50,0.50,2.10,2.66
12.50,12.73,0.91,-0.82,0.07,0.54,0.38,1.14,1.02
11.33,11.63,1.60,-1.27,0.14,0.50,0.50,1.28,1.68
13.34,14.35,1.20,-1.11,0.18,0.44,0.44,2.61,1.48
9.34,10.10,0.80,-0.53,0.88,0.43,0.57,0.77,0.94
10.77,16.61,1.30,-1.72,0.53,0.58,0.39,6.18,1.96
12.45,15.35,1.35,-0.94,0.31,0.38,0.50,4.91,1.58
1.17,12.50,0.94,-1.02,0.96,0.09,0.07,2.98,0.52
38.15,39.77,1.06,-1.37,0.05,0.48,0.36,13.98,2.05
33.70,43.73,0.99,-1.22,0.23,0.40,0.31,20.58,1.42
25.83,39.02,0.82,-0.53,0.34,0.32,0.27,19.06,1.00
45.98,47.01,1.84,-2.11,0.02,0.50,0.40,11.51,5.31
1.48,10.35,1.56,-1.17,0.94,0.22,0.22,3.02,1.38
13.56,14.38,1.59,-1.14,0.13,0.50,0.50,2.92,1.68
1.16,13.05,2.70,-1.65,0.97,0.07,0.09,3.08,1.02
12.88,16.53,1.60,-0.67,0.47,0.44,0.50,4.51,1.47
20.17,25.61,2.92,-1.55,0.22,0.31,0.51,11.92,4.91
5.80,10.30,1.43,-0.83,0.91,0.60,0.30,2.95,1.21
20.60,30.46,1.52,-1.71,0.35,0.44,0.34,14.93,1.90
9.52,14.41,1.51,-1.46,0.38,0.34,0.34,6.75,1.79
38.99,39.39,1.04,-1.22,0.01,0.52,0.43,9.70,1.59
50.66,54.55,1.23,-0.55,0.08,0.59,0.33,20.01,1.19
33.82,42.93,1.47,-1.71,0.22,0.42,0.32,20.54,2.15
51.73,51.98,1.15,-1.06,0.01,0.48,0.44,16.88,1.48
2.80,13.85,3.02,-2.22,0.85,0.13,0.13,5.25,1.72
35.24,36.62,1.18,-1.87,0.05,0.63,0.37,14.00,1.99
25.08,32.26,1.18,-1.12,0.23,0.44,0.33,15.60,1.33
28.69,37.14,1.25,-1.21,0.23,0.41,0.35,17.89,1.43
24.92,49.89,1.89,-1.53,0.50,0.22,0.26,28.15,4.22
17.26,17.74,1.26,-1.37,0.05,0.47,0.41,4.46,1.54
7.34,23.31,2.72,-2.78,0.73,0.24,0.22,10.26,2.74
10.48,17.25,1.95,-1.61,0.44,0.35,0.38,8.39,2.15
6.69,10.20,1.65,-2.07,0.88,0.57,0.43,2.44,2.27
4.70,10.00,1.95,-1.51,0.97,0.36,0.42,3.82,2.59
8.84,11.00,1.40,-0.84,0.83,0.36,0.45,1.56,1.37
20.27,21.93,0.96,-0.86,0.11,0.47,0.45,6.25,1.17
15.62,18.14,1.80,-2.52,0.19,0.56,0.39,7.18,2.94
14.17,16.07,1.87,-1.57,0.17,0.50,0.45,4.88,2.39
7.77,10.70,0.80,-0.23,0.92,0.55,0.27,1.61,0.68
9.29,10.90,0.98,-0.67,0.78,0.50,0.50,1.19,0.99
1.20,11.64,2.26,-1.49,0.94,0.08,0.11,3.23,1.12
10.09,12.06,1.28,-0.90,0.31,0.42,0.52,3.24,1.27
21.43,27.72,1.44,-1.24,0.27,0.45,0.44,11.72,1.97
46.68,60.13,1.18,-2.17,0.23,0.48,0.24,28.52,3.28
7.33,14.48,2.14,-1.66,0.59,0.33,0.36,6.81,2.22
32.95,37.53,2.08,-0.72,0.15,0.81,0.19,15.38,1.76
16.05,25.23,37.80,-4.63,0.36,0.10,0.60,14.94,13.14
49.05,53.71,1.12,-1.10,0.09,0.41,0.38,19.19,1.69
25.90,26.87,1.68,-1.79,0.05,0.53,0.44,8.03,2.05
24.00,35.94,1.45,-1.60,0.34,0.37,0.31,18.00,1.96
14.49,25.98,2.65,-3.07,0.50,0.39,0.27,13.25,3.13
17.65,18.41,1.12,-1.01,0.07,0.46,0.46,3.95,1.39
14.09,27.22,2.25,-1.34,0.54,0.29,0.47,12.80,3.95
19.98,26.36,1.41,-1.67,0.27,0.52,0.42,12.75,2.06
15.81,23.42,0.93,-1.47,0.35,0.43,0.26,12.24,1.19
33.88,37.11,2.49,-1.50,0.10,0.38,0.61,17.91,3.97
44.51,50.26,1.17,-1.73,0.12,0.54,0.33,20.35,1.89
30.16,51.07,11.57,-1.80,0.41,0.09,0.52,27.87,8.51
52.48,55.35,1.30,-1.52,0.05,0.49,0.41,18.43,2.86
30.49,41.61,1.62,-2.24,0.27,0.47,0.30,22.71,2.01
29.99,51.94,1.70,-2.70,0.43,0.36,0.22,28.88,2.00
35.08,39.77,1.47,-3.33,0.13,0.71,0.29,18.11,2.81
10.94,28.39,18.50,-2.98,0.65,0.08,0.47,15.60,8.25
19.54,31.07,2.21,-1.30,0.42,0.67,0.23,16.01,1.91
25.84,29.06,1.24,-0.95,0.11,0.38,0.42,10.76,1.42
56.47,66.14,1.51,-1.25,0.15,0.33,0.39,34.20,3.21
9.06,12.48,1.61,-1.29,0.43,0.45,0.45,4.95,2.59
8.55,10.78,0.65,-0.59,0.85,0.46,0.38,1.34,0.76
8.74,10.73,1.17,-0.53,0.80,0.29,0.50,1.25,0.87
9.03,10.05,0.45,-0.27,0.89,0.33,0.50,0.59,0.39
23.15,29.81,1.03,-0.97,0.22,0.33,0.32,15.31,1.38
10.52,14.71,1.64,-1.64,0.58,0.50,0.44,4.05,1.97
15.18,43.71,3.06,-1.22,0.66,0.12,0.27,21.91,3.90
17.60,29.25,1.89,-2.02,0.41,0.33,0.30,16.66,2.04
31.54,32.17,1.12,-1.06,0.03,0.47,0.48,9.38,1.52
25.08,26.70,1.12,-1.50,0.08,0.58,0.36,7.39,1.63
10.03,19.10,1.38,-1.42,0.52,0.34,0.31,9.72,1.45
14.36,22.30,2.48,-1.38,0.47,0.34,0.59,9.85,2.44
11.60,16.85,0.93,-0.89,0.38,0.42,0.37,7.66,1.22
19.29,19.71,1.43,-1.59,0.04,0.51,0.41,5.82,1.95
30.50,31.26,1.55,-0.88,0.03,0.54,0.42,10.37,1.48
4.44,11.86,1.62,-1.87,0.80,0.42,0.25,4.51,1.57
3.49,10.80,3.60,-3.07,0.91,0.30,0.30,4.01,2.78
10.18,10.57,2.10,-0.45,0.25,0.33,0.67,0.87,1.49
17.87,18.89,1.24,-1.38,0.10,0.53,0.45,4.34,1.64
9.35,16.55,1.28,-1.18,0.48,0.36,0.32,8.01,1.43
39.44,40.01,1.02,-1.34,0.02,0.55,0.41,13.05,1.81
30.66,44.06,1.31,-1.43,0.30,0.39,0.28,22.04,1.66
29.85,32.70,1.12,-1.92,0.11,0.67,0.30,11.22,1.90
49.89,58.55,1.08,-2.64,0.15,0.54,0.21,27.08,3.13
52.68,56.84,2.68,-1.66,0.07,0.33,0.53,21.31,6.94
7.13,11.43,1.00,-1.28,0.82,0.53,0.39,3.58,1.69
39.31,50.92,1.18,-1.48,0.23,0.46,0.30,24.29,1.98
25.99,29.69,1.79,-1.67,0.13,0.42,0.39,12.85,2.61
14.86,16.20,1.95,-1.86,0.14,0.50,0.44,3.98,2.58
21.16,38.36,1.55,-2.25,0.46,0.39,0.26,21.79,2.90
52.17,54.86,1.05,-1.16,0.05,0.48,0.43,15.81,2.56
42.07,57.85,1.43,-3.17,0.29,0.61,0.25,29.56,2.57
52.58,59.81,2.25,-1.89,0.12,0.38,0.44,25.51,4.57
18.29,30.83,2.89,-2.02,0.41,0.27,0.35,18.73,2.43
42.16,46.47,0.85,-0.82,0.10,0.44,0.42,17.40,1.21
28.38,33.52,1.36,-0.92,0.16,0.33,0.43,14.12,1.67
12.42,17.17,1.34,-0.90,0.33,0.30,0.38,7.28,1.47
13.96,18.26,1.16,-0.61,0.27,0.27,0.46,7.51,2.13
12.29,16.92,0.68,-0.46,0.32,0.34,0.48,7.09,0.71
3.61,14.66,1.01,-0.59,0.81,0.17,0.28,5.60,1.28
7.37,17.64,0.98,-0.73,0.77,0.36,0.42,6.55,1.14
6.93,16.70,3.96,-2.23,0.73,0.50,0.40,7.19,3.73
6.56,12.63,1.03,-0.70,0.69,0.57,0.25,5.23,1.09
16.44,20.07,1.25,-1.84,0.24,0.59,0.36,7.67,1.80
42.26,46.09,1.75,-1.11,0.10,0.38,0.55,17.58,2.69
87.06,87.62,0.85,-0.93,0.01,0.46,0.39,22.18,2.95
24.20,29.11,1.89,-2.17,0.17,0.44,0.37,12.33,3.00
20.75,21.58,3.71,-3.54,0.06,0.50,0.44,6.19,4.27
23.91,39.10,0.97,-2.45,0.39,0.44,0.15,20.98,2.13
24.07,36.36,1.45,-2.97,0.35,0.62,0.06,18.47,1.56
16.72,40.75,1.80,-2.28,0.59,0.24,0.15,21.17,2.12
5.75,16.43,1.25,-1.12,0.70,0.31,0.28,7.29,1.20
6.35,12.62,2.36,-1.37,0.59,0.33,0.33,5.92,2.18
8.50,10.70,1.57,-1.10,0.67,0.60,0.40,1.92,1.74
9.95,11.10,2.30,0.0,0.50,1.00,0.00,1.63,0.00
34.07,35.83,2.21,-0.84,0.07,0.69,0.31,9.19,4.62
29.99,31.66,1.65,-1.61,0.06,0.51,0.37,11.52,2.39
12.48,13.43,1.46,-0.67,0.22,0.62,0.38,2.06,1.37
4.76,11.70,1.40,-1.10,0.96,0.36,0.42,3.14,1.52
3.21,10.10,0.89,-0.99,0.98,0.42,0.36,2.74,1.17
2.16,12.86,1.28,-1.14,0.96,0.22,0.22,3.46,1.05
12.56,13.66,0.97,-0.96,0.13,0.53,0.42,3.21,1.33
0.81,10.20,1.13,-3.07,0.99,0.08,0.03,2.31,0.68
30.82,31.49,0.93,-1.45,0.03,0.58,0.36,10.15,1.48
3.20,11.05,2.83,-0.89,0.91,0.18,0.41,3.81,1.44
8.57,10.10,0.72,-0.60,0.83,0.80,0.20,1.00,0.68
15.82,16.00,0.96,-0.56,0.02,0.38,0.51,3.09,1.00
20.60,24.74,1.42,-1.23,0.21,0.46,0.49,9.46,1.74
6.88,10.80,2.60,-1.34,0.89,0.38,0.62,2.63,2.29
0.26,13.38,2.16,-0.33,0.98,0.02,0.01,1.84,0.67
11.47,14.20,14.20,0.0,0.19,0.02,0.00,5.65,1.99
9.47,14.20,14.20,0.0,0.33,0.50,0.00,8.20,10.04
5.92,14.20,14.20,-0.43,0.60,0.11,0.33,7.14,4.80
2.74,16.30,2.18,-1.28,0.91,0.17,0.08,4.96,1.20
18.65,24.87,8.80,0.0,0.25,1.00,0.00,12.48,13.01
39.46,39.62,1.49,-1.73,0.00,0.48,0.31,12.16,3.06
1.26,13.01,2.49,-1.89,0.95,0.10,0.10,3.27,1.08
1.48,19.07,1.98,-2.22,0.93,0.06,0.04,5.00,1.03
1.56,16.79,2.54,-1.70,0.92,0.08,0.07,4.75,1.16
41.44,42.86,0.92,-1.15,0.03,0.49,0.36,11.12,1.52
11.58,20.48,2.32,-2.34,0.45,0.34,0.25,10.44,2.88
17.41,19.45,1.57,-1.19,0.12,0.42,0.45,6.34,2.07
23.18,28.42,1.60,-1.00,0.20,0.50,0.31,13.03,2.59
6.24,13.97,3.34,-1.90,0.59,0.31,0.19,7.07,2.56
10.57,10.95,0.60,0.0,0.33,1.00,0.00,0.67,0.71
30.97,31.87,2.29,-3.81,0.04,0.64,0.32,12.82,3.50
22.30,37.77,1.15,-1.53,0.41,0.34,0.24,20.04,1.65
7.56,22.22,1.73,-1.70,0.67,0.21,0.18,10.99,1.44
30.73,37.38,1.47,-1.35,0.18,0.40,0.40,17.42,1.94
32.84,42.78,1.56,-1.89,0.23,0.41,0.33,20.43,2.17
12.61,13.05,1.08,-0.95,0.13,0.43,0.43,1.59,1.34
9.26,11.70,2.37,-1.15,0.50,0.43,0.57,2.80,2.07
17.35,32.08,1.41,-1.59,0.53,0.52,0.33,15.24,1.93
27.25,32.11,1.28,-1.12,0.15,0.40,0.34,13.73,1.62
27.61,37.74,1.49,-1.21,0.28,0.45,0.29,18.70,1.71
42.54,44.68,1.28,-1.03,0.05,0.44,0.46,15.87,1.72
36.41,43.28,1.28,-1.80,0.17,0.52,0.35,20.35,2.89
13.11,14.42,0.85,-1.00,0.19,0.57,0.40,3.43,1.39
58.33,59.34,2.43,-2.26,0.02,0.47,0.50,18.74,5.74
9.56,12.45,2.45,-2.75,0.43,0.67,0.33,3.95,3.14
3.77,12.23,2.32,-3.67,0.83,0.35,0.18,5.04,2.83
9.87,10.10,0.70,0.0,0.33,0.50,0.00,0.40,0.49
47.90,48.34,1.35,-1.94,0.01,0.58,0.37,16.30,2.45
39.74,48.40,1.39,-1.95,0.18,0.48,0.34,22.95,2.15
32.57,46.17,1.37,-2.04,0.30,0.42,0.27,23.71,2.15
1.95,17.00,5.95,-3.06,0.90,0.06,0.10,5.36,1.85
65.64,66.41,1.18,-1.25,0.01,0.50,0.46,18.43,1.78
37.20,47.74,1.47,-2.92,0.23,0.54,0.27,24.76,2.50
27.09,31.25,3.21,-3.00,0.17,0.52,0.43,12.43,3.87
31.52,32.99,21.00,-2.88,0.06,0.13,0.87,13.59,11.61
44.47,47.37,1.58,-1.70,0.06,0.48,0.44,17.13,1.97
28.07,47.70,2.90,-2.11,0.41,0.26,0.33,26.70,3.94
64.79,68.76,1.54,-1.56,0.06,0.48,0.40,22.65,3.50
35.04,38.23,58.80,-5.04,0.08,0.09,0.82,16.83,19.37
7.01,16.51,4.54,-2.06,0.61,0.17,0.33,8.44,2.83
61.83,62.42,1.34,-1.09,0.01,0.67,0.29,20.28,1.30
15.92,22.12,3.11,-1.31,0.29,0.30,0.41,10.41,3.46
8.60,10.20,1.50,-0.80,0.75,0.67,0.33,1.30,1.36
28.87,29.84,1.50,-1.49,0.05,0.56,0.44,7.71,2.02
32.01,35.67,1.91,-1.73,0.11,0.41,0.44,17.28,3.51
44.80,47.09,1.41,-1.80,0.05,0.54,0.39,20.07,3.27
4.05,17.90,1.96,-1.70,0.80,0.15,0.17,7.21,1.30
29.18,31.33,1.20,-2.17,0.09,0.64,0.31,12.92,2.15
41.91,54.31,1.62,-1.85,0.23,0.42,0.35,26.68,2.92
3.54,11.20,5.60,-6.40,0.86,0.33,0.17,4.66,4.58
17.28,19.04,1.38,-1.19,0.14,0.45,0.43,5.31,1.60
9.84,23.61,1.56,-0.92,0.61,0.25,0.29,12.46,1.86
24.48,29.10,28.80,-2.30,0.20,0.11,0.67,10.96,10.27
19.72,22.30,2.13,-1.36,0.14,0.44,0.46,9.30,2.33
24.92,26.71,2.17,-4.75,0.09,0.61,0.24,9.84,4.56
16.01,17.60,2.46,-1.29,0.19,0.33,0.47,4.08,2.14
31.78,50.73,1.02,-1.09,0.38,0.42,0.17,27.15,1.17
16.79,17.32,2.17,-3.04,0.07,0.62,0.38,4.28,3.19
40.66,45.39,1.30,-1.57,0.12,0.52,0.39,17.47,2.82
20.41,20.83,1.56,-1.72,0.04,0.54,0.46,5.85,2.00
24.03,25.16,1.46,-1.89,0.06,0.54,0.38,9.64,2.07
12.55,21.50,1.80,-1.94,0.50,0.47,0.31,9.95,2.40
18.90,23.40,1.72,-2.66,0.22,0.59,0.36,10.53,2.68
32.22,34.33,1.56,-3.72,0.08,0.72,0.28,13.84,2.80
41.54,42.33,1.36,-2.13,0.02,0.54,0.33,13.60,3.23
9.44,10.20,0.70,-0.60,0.80,0.50,0.25,0.50,0.63
25.62,27.71,1.85,-2.48,0.10,0.53,0.33,8.58,2.83
25.11,34.29,1.93,-0.79,0.28,0.47,0.35,16.13,2.08
10.12,16.05,2.14,-2.12,0.48,0.55,0.25,7.44,2.56
19.40,21.24,1.42,-2.08,0.14,0.71,0.24,5.75,2.18
23.52,25.92,2.47,-1.68,0.12,0.42,0.58,10.28,2.66
7.40,10.25,1.08,-1.65,0.78,0.75,0.25,2.53,1.52
